date of birth,number of people,Date
"1900_01_01",8,1900-01-01
"1900_01_02",1,1900-01-02
"1900_01_04",1,1900-01-04
"1900_01_06",1,1900-01-06
"1900_01_10",1,1900-01-10
"1900_01_11",1,1900-01-11
"1900_01_18",1,1900-01-18
"1900_01_25",1,1900-01-25
"1900_01_29",1,1900-01-29
"1900_02_01",1,1900-02-01
"1900_02_03",1,1900-02-03
"1900_02_04",1,1900-02-04
"1900_02_09",1,1900-02-09
"1900_02_10",1,1900-02-10
"1900_02_13",1,1900-02-13
"1900_02_17",2,1900-02-17
"1900_02_18",2,1900-02-18
"1900_02_19",1,1900-02-19
"1900_02_20",1,1900-02-20
"1900_02_21",1,1900-02-21
"1900_03_05",1,1900-03-05
"1900_03_07",1,1900-03-07
"1900_03_10",1,1900-03-10
"1900_03_13",1,1900-03-13
"1900_03_15",1,1900-03-15
"1900_03_16",1,1900-03-16
"1900_03_18",1,1900-03-18
"1900_04_06",1,1900-04-06
"1900_04_10",1,1900-04-10
"1900_04_11",1,1900-04-11
"1900_04_12",1,1900-04-12
"1900_04_13",1,1900-04-13
"1900_04_14",1,1900-04-14
"1900_04_15",1,1900-04-15
"1900_04_17",1,1900-04-17
"1900_04_28",1,1900-04-28
"1900_04_29",1,1900-04-29
"1900_05_03",1,1900-05-03
"1900_05_05",1,1900-05-05
"1900_05_12",2,1900-05-12
"1900_05_14",1,1900-05-14
"1900_05_18",1,1900-05-18
"1900_05_23",1,1900-05-23
"1900_05_26",1,1900-05-26
"1900_05_27",1,1900-05-27
"1900_06_01",1,1900-06-01
"1900_06_03",3,1900-06-03
"1900_06_08",2,1900-06-08
"1900_06_11",2,1900-06-11
"1900_06_15",1,1900-06-15
"1900_06_21",1,1900-06-21
"1900_06_28",1,1900-06-28
"1900_06_30",1,1900-06-30
"1900_07_01",1,1900-07-01
"1900_07_02",1,1900-07-02
"1900_07_04",1,1900-07-04
"1900_07_07",1,1900-07-07
"1900_07_08",1,1900-07-08
"1900_07_09",1,1900-07-09
"1900_07_15",1,1900-07-15
"1900_07_16",3,1900-07-16
"1900_07_18",1,1900-07-18
"1900_07_23",1,1900-07-23
"1900_07_24",1,1900-07-24
"1900_07_30",1,1900-07-30
"1900_08_04",1,1900-08-04
"1900_08_08",1,1900-08-08
"1900_08_16",1,1900-08-16
"1900_08_29",1,1900-08-29
"1900_09_01",1,1900-09-01
"1900_09_06",2,1900-09-06
"1900_09_10",1,1900-09-10
"1900_09_11",1,1900-09-11
"1900_09_14",1,1900-09-14
"1900_09_16",2,1900-09-16
"1900_09_24",2,1900-09-24
"1900_09_28",1,1900-09-28
"1900_10_06",1,1900-10-06
"1900_10_07",1,1900-10-07
"1900_10_09",1,1900-10-09
"1900_10_11",1,1900-10-11
"1900_10_12",1,1900-10-12
"1900_10_15",1,1900-10-15
"1900_10_18",1,1900-10-18
"1900_10_21",2,1900-10-21
"1900_11_11",1,1900-11-11
"1900_11_14",2,1900-11-14
"1900_11_18",1,1900-11-18
"1900_11_20",2,1900-11-20
"1900_11_22",2,1900-11-22
"1900_11_27",2,1900-11-27
"1900_12_04",1,1900-12-04
"1900_12_05",1,1900-12-05
"1900_12_07",1,1900-12-07
"1900_12_08",2,1900-12-08
"1900_12_14",1,1900-12-14
"1900_12_16",1,1900-12-16
"1900_12_18",1,1900-12-18
"1900_12_25",1,1900-12-25
"1900_12_26",2,1900-12-26
"1900_12_27",1,1900-12-27
"1901_01_01",8,1901-01-01
"1901_01_02",1,1901-01-02
"1901_01_05",2,1901-01-05
"1901_01_10",2,1901-01-10
"1901_01_12",1,1901-01-12
"1901_01_13",1,1901-01-13
"1901_01_15",1,1901-01-15
"1901_01_21",1,1901-01-21
"1901_01_24",1,1901-01-24
"1901_01_27",1,1901-01-27
"1901_01_29",1,1901-01-29
"1901_02_06",3,1901-02-06
"1901_02_14",1,1901-02-14
"1901_02_15",2,1901-02-15
"1901_02_17",1,1901-02-17
"1901_02_18",1,1901-02-18
"1901_02_20",1,1901-02-20
"1901_02_21",1,1901-02-21
"1901_03_01",3,1901-03-01
"1901_03_03",1,1901-03-03
"1901_03_05",1,1901-03-05
"1901_03_09",1,1901-03-09
"1901_03_12",1,1901-03-12
"1901_03_14",2,1901-03-14
"1901_03_16",1,1901-03-16
"1901_03_18",1,1901-03-18
"1901_03_21",1,1901-03-21
"1901_03_24",1,1901-03-24
"1901_03_25",1,1901-03-25
"1901_03_27",1,1901-03-27
"1901_03_29",1,1901-03-29
"1901_03_30",1,1901-03-30
"1901_04_01",2,1901-04-01
"1901_04_03",2,1901-04-03
"1901_04_10",1,1901-04-10
"1901_04_11",1,1901-04-11
"1901_04_12",1,1901-04-12
"1901_04_16",2,1901-04-16
"1901_04_22",1,1901-04-22
"1901_04_23",1,1901-04-23
"1901_04_25",1,1901-04-25
"1901_04_26",1,1901-04-26
"1901_04_29",2,1901-04-29
"1901_04_30",1,1901-04-30
"1901_05_02",1,1901-05-02
"1901_05_03",1,1901-05-03
"1901_05_04",1,1901-05-04
"1901_05_07",1,1901-05-07
"1901_05_10",1,1901-05-10
"1901_05_14",1,1901-05-14
"1901_05_15",1,1901-05-15
"1901_05_19",1,1901-05-19
"1901_05_20",1,1901-05-20
"1901_06_01",1,1901-06-01
"1901_06_04",1,1901-06-04
"1901_06_07",1,1901-06-07
"1901_06_09",2,1901-06-09
"1901_06_10",3,1901-06-10
"1901_06_12",3,1901-06-12
"1901_06_14",1,1901-06-14
"1901_06_17",1,1901-06-17
"1901_06_19",1,1901-06-19
"1901_06_20",1,1901-06-20
"1901_06_21",1,1901-06-21
"1901_06_25",1,1901-06-25
"1901_06_26",1,1901-06-26
"1901_06_28",1,1901-06-28
"1901_06_30",1,1901-06-30
"1901_07_06",1,1901-07-06
"1901_07_09",1,1901-07-09
"1901_07_10",1,1901-07-10
"1901_07_12",1,1901-07-12
"1901_07_14",1,1901-07-14
"1901_07_15",1,1901-07-15
"1901_07_20",1,1901-07-20
"1901_07_22",1,1901-07-22
"1901_07_24",1,1901-07-24
"1901_07_25",1,1901-07-25
"1901_07_28",1,1901-07-28
"1901_07_30",1,1901-07-30
"1901_07_31",1,1901-07-31
"1901_08_03",1,1901-08-03
"1901_08_08",1,1901-08-08
"1901_08_10",2,1901-08-10
"1901_08_11",1,1901-08-11
"1901_08_13",1,1901-08-13
"1901_08_14",1,1901-08-14
"1901_08_16",1,1901-08-16
"1901_08_19",1,1901-08-19
"1901_08_21",1,1901-08-21
"1901_08_27",1,1901-08-27
"1901_08_28",1,1901-08-28
"1901_08_31",1,1901-08-31
"1901_09_06",1,1901-09-06
"1901_09_11",1,1901-09-11
"1901_09_12",1,1901-09-12
"1901_09_14",1,1901-09-14
"1901_09_17",1,1901-09-17
"1901_09_18",2,1901-09-18
"1901_09_23",1,1901-09-23
"1901_09_24",1,1901-09-24
"1901_10_03",2,1901-10-03
"1901_10_04",1,1901-10-04
"1901_10_05",1,1901-10-05
"1901_10_10",2,1901-10-10
"1901_10_12",1,1901-10-12
"1901_10_13",1,1901-10-13
"1901_10_15",2,1901-10-15
"1901_10_18",1,1901-10-18
"1901_10_20",1,1901-10-20
"1901_10_22",1,1901-10-22
"1901_10_23",2,1901-10-23
"1901_10_24",1,1901-10-24
"1901_10_27",1,1901-10-27
"1901_10_28",1,1901-10-28
"1901_10_30",1,1901-10-30
"1901_11_03",1,1901-11-03
"1901_11_06",1,1901-11-06
"1901_11_11",3,1901-11-11
"1901_11_14",1,1901-11-14
"1901_11_15",2,1901-11-15
"1901_11_16",1,1901-11-16
"1901_11_18",1,1901-11-18
"1901_11_19",1,1901-11-19
"1901_11_23",1,1901-11-23
"1901_11_28",1,1901-11-28
"1901_12_01",2,1901-12-01
"1901_12_02",1,1901-12-02
"1901_12_07",1,1901-12-07
"1901_12_08",1,1901-12-08
"1901_12_12",1,1901-12-12
"1901_12_13",1,1901-12-13
"1901_12_15",2,1901-12-15
"1901_12_17",1,1901-12-17
"1901_12_18",1,1901-12-18
"1901_12_20",2,1901-12-20
"1901_12_24",1,1901-12-24
"1901_12_25",1,1901-12-25
"1901_12_30",1,1901-12-30
"1902_01_01",6,1902-01-01
"1902_01_03",1,1902-01-03
"1902_01_04",1,1902-01-04
"1902_01_06",4,1902-01-06
"1902_01_09",1,1902-01-09
"1902_01_12",2,1902-01-12
"1902_01_13",1,1902-01-13
"1902_01_15",2,1902-01-15
"1902_01_17",1,1902-01-17
"1902_01_21",1,1902-01-21
"1902_01_24",1,1902-01-24
"1902_01_29",1,1902-01-29
"1902_01_30",1,1902-01-30
"1902_01_31",2,1902-01-31
"1902_02_11",1,1902-02-11
"1902_02_15",1,1902-02-15
"1902_02_17",1,1902-02-17
"1902_02_18",1,1902-02-18
"1902_02_20",1,1902-02-20
"1902_02_23",1,1902-02-23
"1902_02_25",1,1902-02-25
"1902_02_26",1,1902-02-26
"1902_03_01",1,1902-03-01
"1902_03_03",1,1902-03-03
"1902_03_05",1,1902-03-05
"1902_03_08",1,1902-03-08
"1902_03_14",1,1902-03-14
"1902_03_15",1,1902-03-15
"1902_03_22",2,1902-03-22
"1902_03_25",1,1902-03-25
"1902_04_02",2,1902-04-02
"1902_04_04",1,1902-04-04
"1902_04_07",2,1902-04-07
"1902_04_09",1,1902-04-09
"1902_04_11",1,1902-04-11
"1902_04_12",2,1902-04-12
"1902_04_15",2,1902-04-15
"1902_04_16",2,1902-04-16
"1902_04_18",1,1902-04-18
"1902_04_19",1,1902-04-19
"1902_04_26",1,1902-04-26
"1902_04_28",1,1902-04-28
"1902_04_29",1,1902-04-29
"1902_04_30",1,1902-04-30
"1902_05_01",1,1902-05-01
"1902_05_05",1,1902-05-05
"1902_05_08",1,1902-05-08
"1902_05_12",1,1902-05-12
"1902_05_13",1,1902-05-13
"1902_05_23",1,1902-05-23
"1902_05_27",2,1902-05-27
"1902_05_28",1,1902-05-28
"1902_06_01",2,1902-06-01
"1902_06_02",2,1902-06-02
"1902_06_06",1,1902-06-06
"1902_06_07",1,1902-06-07
"1902_06_08",3,1902-06-08
"1902_06_09",1,1902-06-09
"1902_06_10",1,1902-06-10
"1902_06_13",2,1902-06-13
"1902_06_14",1,1902-06-14
"1902_06_15",2,1902-06-15
"1902_06_17",2,1902-06-17
"1902_06_21",2,1902-06-21
"1902_06_24",1,1902-06-24
"1902_06_25",1,1902-06-25
"1902_06_27",1,1902-06-27
"1902_06_29",1,1902-06-29
"1902_07_01",2,1902-07-01
"1902_07_04",1,1902-07-04
"1902_07_06",1,1902-07-06
"1902_07_07",1,1902-07-07
"1902_07_08",1,1902-07-08
"1902_07_12",1,1902-07-12
"1902_07_15",3,1902-07-15
"1902_07_18",1,1902-07-18
"1902_07_23",1,1902-07-23
"1902_07_25",1,1902-07-25
"1902_07_27",2,1902-07-27
"1902_07_30",1,1902-07-30
"1902_07_31",1,1902-07-31
"1902_08_01",4,1902-08-01
"1902_08_02",1,1902-08-02
"1902_08_03",3,1902-08-03
"1902_08_04",1,1902-08-04
"1902_08_05",1,1902-08-05
"1902_08_07",4,1902-08-07
"1902_08_11",2,1902-08-11
"1902_08_15",1,1902-08-15
"1902_08_17",2,1902-08-17
"1902_08_20",1,1902-08-20
"1902_08_26",1,1902-08-26
"1902_08_27",1,1902-08-27
"1902_09_01",1,1902-09-01
"1902_09_03",1,1902-09-03
"1902_09_06",2,1902-09-06
"1902_09_07",2,1902-09-07
"1902_09_10",1,1902-09-10
"1902_09_11",1,1902-09-11
"1902_09_15",1,1902-09-15
"1902_09_18",2,1902-09-18
"1902_09_24",1,1902-09-24
"1902_09_29",3,1902-09-29
"1902_10_01",2,1902-10-01
"1902_10_03",2,1902-10-03
"1902_10_04",1,1902-10-04
"1902_10_05",2,1902-10-05
"1902_10_06",1,1902-10-06
"1902_10_07",1,1902-10-07
"1902_10_09",1,1902-10-09
"1902_10_10",1,1902-10-10
"1902_10_11",3,1902-10-11
"1902_10_12",2,1902-10-12
"1902_10_14",1,1902-10-14
"1902_10_15",2,1902-10-15
"1902_10_19",1,1902-10-19
"1902_10_20",1,1902-10-20
"1902_10_25",1,1902-10-25
"1902_10_26",1,1902-10-26
"1902_10_27",1,1902-10-27
"1902_10_28",1,1902-10-28
"1902_10_29",1,1902-10-29
"1902_11_01",1,1902-11-01
"1902_11_02",1,1902-11-02
"1902_11_04",1,1902-11-04
"1902_11_11",1,1902-11-11
"1902_11_12",1,1902-11-12
"1902_11_13",1,1902-11-13
"1902_11_14",2,1902-11-14
"1902_11_15",1,1902-11-15
"1902_11_16",2,1902-11-16
"1902_11_18",1,1902-11-18
"1902_11_27",1,1902-11-27
"1902_12_04",1,1902-12-04
"1902_12_06",4,1902-12-06
"1902_12_07",1,1902-12-07
"1902_12_09",1,1902-12-09
"1902_12_12",1,1902-12-12
"1902_12_13",1,1902-12-13
"1902_12_14",1,1902-12-14
"1902_12_15",1,1902-12-15
"1902_12_20",1,1902-12-20
"1902_12_22",1,1902-12-22
"1902_12_25",2,1902-12-25
"1902_12_28",1,1902-12-28
"1902_12_29",1,1902-12-29
"1902_12_31",1,1902-12-31
"1903_01_01",3,1903-01-01
"1903_01_02",2,1903-01-02
"1903_01_03",1,1903-01-03
"1903_01_04",2,1903-01-04
"1903_01_05",2,1903-01-05
"1903_01_06",2,1903-01-06
"1903_01_07",1,1903-01-07
"1903_01_08",2,1903-01-08
"1903_01_09",1,1903-01-09
"1903_01_10",1,1903-01-10
"1903_01_11",1,1903-01-11
"1903_01_12",3,1903-01-12
"1903_01_19",1,1903-01-19
"1903_01_20",2,1903-01-20
"1903_01_21",1,1903-01-21
"1903_01_21",1,1903-01-21
"1903_01_26",1,1903-01-26
"1903_01_28",1,1903-01-28
"1903_01_31",2,1903-01-31
"1903_02_04",1,1903-02-04
"1903_02_05",1,1903-02-05
"1903_02_17",1,1903-02-17
"1903_02_20",1,1903-02-20
"1903_02_23",1,1903-02-23
"1903_02_27",3,1903-02-27
"1903_03_01",2,1903-03-01
"1903_03_03",1,1903-03-03
"1903_03_04",3,1903-03-04
"1903_03_05",1,1903-03-05
"1903_03_10",1,1903-03-10
"1903_03_11",2,1903-03-11
"1903_03_12",1,1903-03-12
"1903_03_14",2,1903-03-14
"1903_03_17",1,1903-03-17
"1903_03_19",3,1903-03-19
"1903_03_20",3,1903-03-20
"1903_03_24",1,1903-03-24
"1903_03_28",2,1903-03-28
"1903_03_31",1,1903-03-31
"1903_04_02",1,1903-04-02
"1903_04_03",2,1903-04-03
"1903_04_05",1,1903-04-05
"1903_04_08",1,1903-04-08
"1903_04_12",1,1903-04-12
"1903_04_18",1,1903-04-18
"1903_04_20",1,1903-04-20
"1903_04_21",1,1903-04-21
"1903_04_24",1,1903-04-24
"1903_04_25",1,1903-04-25
"1903_04_26",2,1903-04-26
"1903_04_27",1,1903-04-27
"1903_04_29",2,1903-04-29
"1903_04_30",1,1903-04-30
"1903_05_02",1,1903-05-02
"1903_05_03",1,1903-05-03
"1903_05_06",2,1903-05-06
"1903_05_07",2,1903-05-07
"1903_05_08",4,1903-05-08
"1903_05_09",1,1903-05-09
"1903_05_10",1,1903-05-10
"1903_05_11",1,1903-05-11
"1903_05_12",1,1903-05-12
"1903_05_13",1,1903-05-13
"1903_05_15",2,1903-05-15
"1903_05_16",1,1903-05-16
"1903_05_17",2,1903-05-17
"1903_05_21",2,1903-05-21
"1903_05_23",1,1903-05-23
"1903_05_24",2,1903-05-24
"1903_05_26",2,1903-05-26
"1903_05_27",2,1903-05-27
"1903_05_28",1,1903-05-28
"1903_06_04",1,1903-06-04
"1903_06_05",1,1903-06-05
"1903_06_06",2,1903-06-06
"1903_06_07",1,1903-06-07
"1903_06_10",1,1903-06-10
"1903_06_11",2,1903-06-11
"1903_06_13",1,1903-06-13
"1903_06_15",1,1903-06-15
"1903_06_18",1,1903-06-18
"1903_06_21",4,1903-06-21
"1903_06_23",1,1903-06-23
"1903_06_24",1,1903-06-24
"1903_06_28",1,1903-06-28
"1903_06_29",1,1903-06-29
"1903_06_30",2,1903-06-30
"1903_07_01",1,1903-07-01
"1903_07_02",1,1903-07-02
"1903_07_03",1,1903-07-03
"1903_07_06",2,1903-07-06
"1903_07_10",3,1903-07-10
"1903_07_14",1,1903-07-14
"1903_07_15",1,1903-07-15
"1903_07_17",1,1903-07-17
"1903_07_18",2,1903-07-18
"1903_07_19",1,1903-07-19
"1903_07_20",2,1903-07-20
"1903_07_21",1,1903-07-21
"1903_07_24",1,1903-07-24
"1903_07_26",1,1903-07-26
"1903_07_28",1,1903-07-28
"1903_07_30",1,1903-07-30
"1903_08_03",1,1903-08-03
"1903_08_09",1,1903-08-09
"1903_08_10",1,1903-08-10
"1903_08_11",2,1903-08-11
"1903_08_15",3,1903-08-15
"1903_08_17",1,1903-08-17
"1903_08_19",1,1903-08-19
"1903_08_22",1,1903-08-22
"1903_08_23",1,1903-08-23
"1903_08_27",1,1903-08-27
"1903_08_31",2,1903-08-31
"1903_09_01",1,1903-09-01
"1903_09_02",1,1903-09-02
"1903_09_05",3,1903-09-05
"1903_09_09",1,1903-09-09
"1903_09_13",2,1903-09-13
"1903_09_15",1,1903-09-15
"1903_09_16",1,1903-09-16
"1903_09_17",1,1903-09-17
"1903_09_19",2,1903-09-19
"1903_09_21",3,1903-09-21
"1903_09_22",2,1903-09-22
"1903_09_23",1,1903-09-23
"1903_09_24",1,1903-09-24
"1903_09_25",1,1903-09-25
"1903_09_26",1,1903-09-26
"1903_09_27",1,1903-09-27
"1903_09_29",1,1903-09-29
"1903_09_30",1,1903-09-30
"1903_10_01",1,1903-10-01
"1903_10_04",1,1903-10-04
"1903_10_05",1,1903-10-05
"1903_10_06",1,1903-10-06
"1903_10_08",1,1903-10-08
"1903_10_10",2,1903-10-10
"1903_10_11",2,1903-10-11
"1903_10_12",2,1903-10-12
"1903_10_15",1,1903-10-15
"1903_10_17",1,1903-10-17
"1903_10_18",4,1903-10-18
"1903_10_21",2,1903-10-21
"1903_10_22",2,1903-10-22
"1903_10_23",1,1903-10-23
"1903_10_29",1,1903-10-29
"1903_10_30",1,1903-10-30
"1903_10_31",1,1903-10-31
"1903_11_01",2,1903-11-01
"1903_11_05",3,1903-11-05
"1903_11_06",2,1903-11-06
"1903_11_12",2,1903-11-12
"1903_11_13",1,1903-11-13
"1903_11_16",1,1903-11-16
"1903_11_17",1,1903-11-17
"1903_11_23",1,1903-11-23
"1903_11_24",1,1903-11-24
"1903_11_26",1,1903-11-26
"1903_11_27",2,1903-11-27
"1903_11_28",1,1903-11-28
"1903_11_30",1,1903-11-30
"1903_12_01",2,1903-12-01
"1903_12_02",1,1903-12-02
"1903_12_06",1,1903-12-06
"1903_12_07",2,1903-12-07
"1903_12_09",1,1903-12-09
"1903_12_10",4,1903-12-10
"1903_12_11",1,1903-12-11
"1903_12_12",1,1903-12-12
"1903_12_13",3,1903-12-13
"1903_12_14",1,1903-12-14
"1903_12_16",1,1903-12-16
"1903_12_19",1,1903-12-19
"1903_12_20",1,1903-12-20
"1903_12_21",1,1903-12-21
"1903_12_23",1,1903-12-23
"1903_12_24",1,1903-12-24
"1903_12_25",3,1903-12-25
"1903_12_26",1,1903-12-26
"1903_12_30",1,1903-12-30
"1904_01_01",6,1904-01-01
"1904_01_04",1,1904-01-04
"1904_01_05",1,1904-01-05
"1904_01_07",1,1904-01-07
"1904_01_08",1,1904-01-08
"1904_01_09",1,1904-01-09
"1904_01_11",2,1904-01-11
"1904_01_12",1,1904-01-12
"1904_01_14",2,1904-01-14
"1904_01_16",1,1904-01-16
"1904_01_20",3,1904-01-20
"1904_01_23",1,1904-01-23
"1904_01_25",1,1904-01-25
"1904_01_26",2,1904-01-26
"1904_01_28",1,1904-01-28
"1904_01_30",1,1904-01-30
"1904_02_01",1,1904-02-01
"1904_02_02",1,1904-02-02
"1904_02_03",2,1904-02-03
"1904_02_04",2,1904-02-04
"1904_02_05",2,1904-02-05
"1904_02_07",1,1904-02-07
"1904_02_10",1,1904-02-10
"1904_02_12",3,1904-02-12
